PASS UC-90     mouse-enabled                                  expected=on                           actual=on
FAIL UC-78     wt-name                                        expected=wt-a-renamed                 actual=wt-a
FAIL UC-78     wt-dir-exists                                  expected=yes                          actual=no
FAIL UC-78     old-dir-gone                                   expected=yes                          actual=no
FAIL UC-78     git-worktree-ok                                expected=yes                          actual=no
FAIL UC-79     branch-in-config                               expected=feat/wt-a-v2                 actual=feat/wt-a
FAIL UC-79     branch-checked-out                             expected=feat/wt-a-v2                 actual=<none>
FAIL UC-80     gamma-tracked                                  expected=gamma                        actual=beta
FAIL UC-80     imported-worktree                              expected=['feat/imported']            actual=[]
PASS UC-81     both-see-same-window-count                     expected=5                            actual=5
PASS UC-81     terminal-a-stayed-put                          expected=0                            actual=0
PASS UC-82     single-forestui-window                         expected=1                            actual=1
PASS UC-83     detail-follows-click                           expected=yes                          actual=yes
PASS UC-84     terminal-window-opened                         expected=yes                          actual=yes
PASS UC-86     modal-dismissed-by-click                       expected=no                           actual=no
